"","X","Date","AveragePrice","Total.Volume","X4046","X4225","X4770","Total.Bags","Small.Bags","Large.Bags","XLarge.Bags","type","year","region"
"5720",50,"2017-01-15",0.99,557377.82,249159.52,86964.23,169.63,221084.44,145333.47,75750.97,0,"conventional",2017,"Atlanta"
"3127",6,"2016-11-13",1.48,3848128.2,1326907.02,1367684.96,112541.9,1040994.32,952497.35,60542.13,27954.84,"conventional",2016,"California"
"17016",48,"2017-01-29",2.7,17708.49,7224.2,7671.88,2.86,2809.55,2809.55,0,0,"organic",2017,"SanFrancisco"
"13204",22,"2016-07-24",1.19,6019.75,1.31,11.77,0,6006.67,5980,26.67,0,"organic",2016,"MiamiFtLauderdale"
"17822",4,"2018-02-25",1.41,25590.99,5721.05,68.95,0,19800.99,19544.33,256.66,0,"organic",2018,"Houston"
"5806",30,"2017-06-04",1.19,98460.27,42302.58,3757.52,7950.05,44450.12,44427.36,11.47,11.29,"conventional",2017,"Boise"
"690",13,"2015-09-27",1.17,257472.31,88573.56,43702.48,78776.6,46419.67,33816.62,1081.83,11521.22,"conventional",2015,"Detroit"
"7705",21,"2017-08-06",1.29,124119.9,28072.43,42704.66,168.32,53174.49,48158.96,3335.53,1680,"conventional",2017,"Roanoke"
"18105",11,"2018-01-07",2.06,16746.82,5150.82,9366.31,0,2229.69,2229.69,0,0,"organic",2018,"SanDiego"
"10999",0,"2015-12-27",1.24,27118.17,1189.96,10909.14,10.05,15009.02,6705.83,8303.19,0,"organic",2015,"Portland"
"721",44,"2015-02-22",1.15,250888.8,99207.09,34703.33,46471.63,70506.75,66789.41,267.65,3449.69,"conventional",2015,"Detroit"
"7237",30,"2017-06-04",1.66,401637.7,8209.2,322243.99,2107.52,69076.99,31580.39,36384.93,1111.67,"conventional",2017,"NorthernNewEngland"
"15731",35,"2017-04-30",1.18,28118.39,9703.57,38.49,0,18376.33,10563.19,7813.14,0,"organic",2017,"Houston"
"10762",23,"2015-07-19",1.72,5031.11,2002.52,61.91,0,2966.68,2966.68,0,0,"organic",2015,"Orlando"
"12442",40,"2016-03-20",1.21,16466.35,319.09,8546.86,0,7600.4,496.67,7103.73,0,"organic",2016,"CincinnatiDayton"
"5195",46,"2016-02-07",0.7,7606351.8,3823016,1930304.29,804558.25,1048473.26,756322.54,197394.7,94756.02,"conventional",2016,"SouthCentral"
"12885",15,"2016-09-11",0.87,47076.79,14889.88,28.98,0,32157.93,32087.93,70,0,"organic",2016,"Houston"
"959",22,"2015-07-26",0.79,1086740.19,522819.52,443177.18,5096.53,115646.96,69845.31,45801.65,0,"conventional",2015,"Houston"
"5917",35,"2017-04-30",1.54,178864.17,1803.39,83395.01,45.64,93620.13,91172.9,2447.23,0,"conventional",2017,"BuffaloRochester"
"8673",2,"2018-03-11",1.22,279645.04,65731.37,115236.06,174.48,98503.13,87461.84,9219.07,1822.22,"conventional",2018,"HarrisburgScranton"
"7256",49,"2017-01-22",1.17,502345.31,16606.58,421568.56,9377.69,54792.48,54789.15,3.33,0,"conventional",2017,"NorthernNewEngland"
"732",3,"2015-12-06",0.93,217174.66,4026.57,165454.45,15635.86,32057.78,26570.4,1560.59,3926.79,"conventional",2015,"GrandRapids"
"9106",3,"2018-03-04",0.96,7371498.76,2676545.9,1748192.04,118365.31,2828395.51,1432984.96,1379886.53,15524.02,"conventional",2018,"West"
"5379",22,"2016-07-24",1.5,56952.09,1940.69,35492.01,19.95,19499.44,16609.44,0,2890,"conventional",2016,"Syracuse"
"10931",36,"2015-04-19",1.37,3182.2,1061.01,232.2,0,1888.99,1606.8,282.19,0,"organic",2015,"Pittsburgh"
"6681",4,"2017-12-03",1.26,152697,87017,9779,273,55628,41484,13951,193,"conventional",2017,"Jacksonville"
"3501",16,"2016-09-04",1.08,326335.52,119899.31,56047.32,11880.35,138508.54,138186.39,287.05,35.1,"conventional",2016,"Detroit"
"9846",43,"2015-03-01",1.92,7174.35,386.65,5898.07,0,889.63,516.67,372.96,0,"organic",2015,"Detroit"
"510",41,"2015-03-15",0.94,196008.57,3550.62,131234.14,3387.38,57836.43,19570.41,37402.27,863.75,"conventional",2015,"CincinnatiDayton"
"1544",35,"2015-04-26",1.36,3646363.66,110930.88,2492744.36,7040.21,1035648.21,902141.63,132855.85,650.73,"conventional",2015,"Northeast"
"12759",45,"2016-02-14",1.34,100217.44,9506.17,61569.33,0,29141.94,9377.96,19763.98,0,"organic",2016,"GreatLakes"
"3982",29,"2016-06-05",0.76,3715458.49,1596545.36,650812.6,121002.86,1347097.67,1196472.82,124721.49,25903.36,"conventional",2016,"LosAngeles"
"15611",21,"2017-08-06",1.63,13641.1,253.23,179.45,5.72,13202.7,13199.48,3.22,0,"organic",2017,"HarrisburgScranton"
"17087",13,"2017-10-01",2.15,12921.65,182.4,3400.73,81.2,9257.32,8506.2,751.12,0,"organic",2017,"SouthCarolina"
"10535",4,"2015-11-29",1.58,2041.47,221.95,0,0,1819.52,1812.85,6.67,0,"organic",2015,"NewOrleansMobile"
"17809",3,"2018-03-04",1.9,27608.16,622.71,19631.02,0,7354.43,7354.43,0,0,"organic",2018,"HartfordSpringfield"
"11916",33,"2015-05-03",1.51,12166.64,4523.43,4781.85,0,2861.36,1523.33,1338.03,0,"organic",2015,"WestTexNewMexico"
"10709",22,"2015-07-26",1.95,7510.46,94.34,1065.74,0,6350.38,6313.71,36.67,0,"organic",2015,"NorthernNewEngland"
"13794",40,"2016-03-20",1.44,48042.77,4101.49,18882.56,5028.75,20029.97,6578.46,13451.51,0,"organic",2016,"Plains"
"1962",37,"2015-04-12",1.1,274985.46,71379.06,72736.73,37443.69,93425.98,92113.02,1312.96,0,"conventional",2015,"RaleighGreensboro"
"11551",32,"2015-05-17",1.7,30978.21,13360.6,7486.14,2396.87,7734.6,6175.62,1558.98,0,"organic",2015,"Southeast"
"8886",11,"2018-01-07",0.89,1025312.59,470698.28,222151.2,14761.13,317701.98,178186.6,134615.38,4900,"conventional",2018,"PhoenixTucson"
"10234",15,"2015-09-13",2.34,3783.2,847.33,2556.59,0,379.28,270,109.28,0,"organic",2015,"LasVegas"
"2597",48,"2015-01-25",1.37,44517.84,810.15,22526.2,36.39,21145.1,20725.1,420,0,"conventional",2015,"Syracuse"
"8678",7,"2018-02-04",1.16,395673.05,92062.94,211176.35,157.51,92276.25,89502.17,1977.41,796.67,"conventional",2018,"HarrisburgScranton"
"1570",9,"2015-10-25",1.08,313881.26,2599.46,268057.07,158.24,43066.49,42475.38,591.11,0,"conventional",2015,"NorthernNewEngland"
"9551",8,"2015-11-01",1.6,24450.48,936.9,23373.58,0,140,140,0,0,"organic",2015,"Chicago"
"11909",26,"2015-06-21",1.66,11100.27,5294.94,4443.29,0,1362.04,1035.3,326.74,0,"organic",2015,"WestTexNewMexico"
"16588",44,"2017-02-26",1.41,3584.79,844.97,9.94,0,2729.88,2247.72,482.16,0,"organic",2017,"Pittsburgh"
"9022",3,"2018-03-04",0.79,7399716.74,3596162.29,1104894.9,30623.35,2668036.2,2185246.31,416456.32,66333.57,"conventional",2018,"SouthCentral"
"9497",6,"2015-11-15",1.94,3002.61,244.63,1295.86,828.52,633.6,633.6,0,0,"organic",2015,"Charlotte"
"15172",6,"2017-11-19",1.79,27898.67,29.29,20559.98,0,7309.4,7291.62,17.78,0,"organic",2017,"Chicago"
"17474",29,"2017-06-11",1.56,1397448.17,160841.97,339777.07,3623.46,893205.67,468156.32,425049.35,0,"organic",2017,"TotalUS"
"1579",18,"2015-08-23",1.18,400101.77,2487.19,338130.6,608.29,58875.69,58875.69,0,0,"conventional",2015,"NorthernNewEngland"
"2981",16,"2016-09-04",1.01,79683.06,37233.67,2055.59,7067.38,33326.42,31599.81,1718.65,7.96,"conventional",2016,"Boise"
"7132",31,"2017-05-28",1.75,1451146.59,52861.92,824445.19,4083.43,569756.05,372163.91,178834.64,18757.5,"conventional",2017,"NewYork"
"7487",15,"2017-09-17",1.66,1369417.02,603285.91,339221.28,6807.98,420101.85,365945.02,54079.47,77.36,"conventional",2017,"Plains"
"15675",32,"2017-05-21",2.62,12234.45,107.67,4361.38,12.42,7752.98,7752.98,0,0,"organic",2017,"HartfordSpringfield"
"6863",27,"2017-06-25",0.97,114003.27,2137.42,43420.23,203.5,68242.12,20546.42,47643.48,52.22,"conventional",2017,"Louisville"
"2772",15,"2015-09-13",0.75,829727.75,341728.32,330566.17,26174.67,131258.59,82932.85,48325.74,0,"conventional",2015,"WestTexNewMexico"
"13666",16,"2016-09-04",2.15,8914.06,3684.64,3163.97,0,2065.45,561.55,1503.9,0,"organic",2016,"PhoenixTucson"
"7664",33,"2017-05-14",1.13,257009.92,84866.27,60389.15,2298.81,109455.69,105063.78,4141.01,250.9,"conventional",2017,"RichmondNorfolk"
"9148",21,"2015-08-02",2,1223.94,17.66,103.62,0,1102.66,1102.66,0,0,"organic",2015,"Albany"
"14619",33,"2016-05-08",1.3,1137940.78,132225.28,443777.31,26765.78,535172.41,319417.49,215754.92,0,"organic",2016,"TotalUS"
"15703",7,"2017-11-12",1.68,25301.84,6158.94,57.13,0,19085.77,19085.77,0,0,"organic",2017,"Houston"
"5064",19,"2016-08-14",1.14,591638.12,103908.49,158811.63,2368.4,326549.6,326095.86,88.97,364.77,"conventional",2016,"Seattle"
"8474",48,"2017-01-29",0.74,979146.85,607131.32,61234.48,15028.65,295752.4,159375.8,136376.6,0,"conventional",2017,"WestTexNewMexico"
"9511",20,"2015-08-09",1.98,4920.3,374.39,2116.41,1410.55,1018.95,1018.95,0,0,"organic",2015,"Charlotte"
"6540",22,"2017-07-30",1.56,258166.4,5477.9,190639.6,130.79,61918.11,59706.9,1314.55,896.66,"conventional",2017,"HartfordSpringfield"
"12653",43,"2016-02-28",1.45,11000.16,2183.38,7092.02,0,1724.76,290,1434.76,0,"organic",2016,"Detroit"
"7796",6,"2017-11-19",1.25,409476,146119,102909,14767,145681,133210,9919,2552,"conventional",2017,"SanDiego"
"1440",35,"2015-04-26",0.96,265739.79,179543.83,9195.1,288,76712.86,72727.69,3985.17,0,"conventional",2015,"NewOrleansMobile"
"12037",51,"2016-01-03",1.48,7953.26,3970.66,2151.52,0,1831.08,1037.38,793.7,0,"organic",2016,"Atlanta"
"11047",48,"2015-01-25",1.35,30862.91,15946.79,10638.92,3.13,4274.07,540,3734.07,0,"organic",2015,"Portland"
"8675",4,"2018-02-25",1.24,281655.48,63582.79,127685.46,166.92,90220.31,78774.1,9426.21,2020,"conventional",2018,"HarrisburgScranton"
"16817",8,"2017-11-05",1.5,8255.71,163.9,1362.58,0,6729.23,6386.62,342.61,0,"organic",2017,"Roanoke"
"1674",9,"2015-10-25",1.19,398337.69,19897.83,283085.98,437.37,94916.51,84288.89,10627.62,0,"conventional",2015,"Philadelphia"
"15389",11,"2017-10-15",1.55,38937.28,11990.11,1114.77,85.48,25746.92,24092.69,1654.23,0,"organic",2017,"Denver"
"13741",39,"2016-03-27",1.18,1702.84,96.59,220.18,26.36,1359.71,1356.26,3.45,0,"organic",2016,"Pittsburgh"
"16698",48,"2017-01-29",0.99,35700.1,3147.45,4138.38,1.63,28412.64,849.74,27562.9,0,"organic",2017,"Portland"
"612",39,"2015-03-29",0.79,1164808.22,645523.05,396361,13339.76,109584.41,95894.64,13670.42,19.35,"conventional",2015,"DallasFtWorth"
"11387",24,"2015-07-12",2.23,25100.98,6831.25,18168.54,16,85.19,0,85.19,0,"organic",2015,"Seattle"
"10916",21,"2015-08-02",1.57,1238.66,574.11,45.73,0,618.82,257.53,361.29,0,"organic",2015,"Pittsburgh"
"6019",31,"2017-05-28",1.5,237363.56,55170.16,89547.81,8529.56,84116.03,80490.49,3625.54,0,"conventional",2017,"Charlotte"
"6209",9,"2017-10-29",1.05,1071345.81,548902.52,213645.56,2639.97,306157.76,180681.23,125267.43,209.1,"conventional",2017,"DallasFtWorth"
"185",28,"2015-06-14",0.99,87607.71,58791.25,17880.43,3135.99,7800.04,7800.04,0,0,"conventional",2015,"Boise"
"14106",40,"2016-03-20",1.4,14926.04,1809.37,8607.36,3.21,4506.1,2285.38,2220.72,0,"organic",2016,"SanDiego"
"12668",6,"2016-11-13",2.28,1284.68,69.31,822.04,0,393.33,393.33,0,0,"organic",2016,"GrandRapids"
"17859",5,"2018-02-18",1.64,11078.27,1473.68,1915.56,0,7689.03,7665.64,23.39,0,"organic",2018,"LasVegas"
"2536",39,"2015-03-29",1.21,198395.76,111921.69,39575,56.26,46842.81,46687.25,155.56,0,"conventional",2015,"StLouis"
"11939",5,"2016-11-20",1.93,1862.7,122.63,197.39,0,1542.68,1542.68,0,0,"organic",2016,"Albany"
"13391",1,"2016-12-18",1.99,51329.63,11645.06,22852.9,190.58,16641.09,16086.71,554.38,0,"organic",2016,"NewYork"
"17249",16,"2017-09-10",2.86,2913.66,254.5,1032.25,0,1626.91,478.89,1148.02,0,"organic",2017,"Spokane"
"11782",3,"2015-12-06",1.52,514112.96,90203.21,212582.74,4066.09,207260.92,108684.49,98576.43,0,"organic",2015,"TotalUS"
"11094",43,"2015-03-01",1.73,5491.23,55.87,2571.34,931.25,1932.77,1814.69,118.08,0,"organic",2015,"RaleighGreensboro"
"1338",37,"2015-04-12",1.13,2829416.58,665283.33,1298472.42,185691.58,679969.25,635124.32,44745.79,99.14,"conventional",2015,"Midsouth"
"13532",38,"2016-04-03",1.61,8175.69,0,215.36,0,7960.33,7960.33,0,0,"organic",2016,"NorthernNewEngland"
"10098",35,"2015-04-26",1.26,12066.11,10739.01,480.43,0,846.67,846.67,0,0,"organic",2015,"Houston"
"12574",16,"2016-09-04",1.15,25026.47,8810.53,2263.32,275.18,13677.44,11408.72,2268.72,0,"organic",2016,"Denver"
"637",12,"2015-10-04",1.02,678935.84,101712.18,364774.25,27621.71,184827.7,41345.58,143474.53,7.59,"conventional",2015,"Denver"
"12675",13,"2016-09-25",2.16,980.98,104.51,691.68,0,184.79,173.33,11.46,0,"organic",2016,"GrandRapids"
"377",12,"2015-10-04",1.22,146737.74,23648.94,44671.1,40366.93,38050.77,30388.81,7661.96,0,"conventional",2015,"Charlotte"
"14329",3,"2016-12-04",1.44,51799.91,3464.51,9245.68,237.32,38852.4,15786.96,23065.44,0,"organic",2016,"Southeast"
"5614",49,"2016-01-17",0.83,712937.27,440675.35,120098.37,26636.1,125527.45,89810.71,28507.85,7208.89,"conventional",2016,"WestTexNewMexico"
"413",48,"2015-01-25",1.18,167270.13,37383.37,44000.75,31576.2,54309.81,41623.4,12686.41,0,"conventional",2015,"Charlotte"
"7523",51,"2017-01-08",1.06,1890389.78,915300.05,479607.98,5628.26,489853.49,450604.75,32676.07,6572.67,"conventional",2017,"Plains"
"9284",1,"2015-12-20",1.17,1807.57,10.29,409.07,0,1388.21,689.27,698.94,0,"organic",2015,"Boise"
"12917",47,"2016-01-31",1.44,10657.65,7059.86,63.08,0,3534.71,3528.04,6.67,0,"organic",2016,"Houston"
"11462",47,"2015-02-01",1.66,3977.03,456.99,1272.79,503.05,1744.2,1580,164.2,0,"organic",2015,"SouthCarolina"
"1053",12,"2015-10-04",0.99,153146.21,102479,13922.67,537.65,36206.89,14925.09,21281.8,0,"conventional",2015,"Jacksonville"
"8228",14,"2017-09-24",1.47,53868.66,4475.84,28923.06,29.25,20440.51,17095.79,3341.39,3.33,"conventional",2017,"Syracuse"
"16918",3,"2017-12-10",2.05,13284.31,2436.56,6895.21,0,3952.54,3952.54,0,0,"organic",2017,"SanDiego"
"14955",1,"2017-12-24",1.83,25639.14,29.37,1723.76,0,23886.01,23597.12,288.89,0,"organic",2017,"Boston"
"9085",6,"2018-02-11",1,569543.02,364195.92,46814.57,1035.27,157497.26,82780.08,74593.85,123.33,"conventional",2018,"Tampa"
"9431",44,"2015-02-22",1.53,5821.39,32.64,92.08,0,5696.67,5696.67,0,0,"organic",2015,"BuffaloRochester"
"12927",5,"2016-11-20",1.59,3377.88,149.77,1228.83,0,1999.28,883.13,1116.15,0,"organic",2016,"Indianapolis"
"742",13,"2015-09-27",1.15,137849.61,2977.77,87274.97,13024.28,34572.59,28888.74,1913.24,3770.61,"conventional",2015,"GrandRapids"
"2136",3,"2015-12-06",0.67,565516.62,196490.3,209350.93,17406.01,142269.38,114044.25,28225.13,0,"conventional",2015,"SanDiego"
"812",31,"2015-05-24",1.15,3574050.61,758183.5,1764210.85,263068.72,788587.54,641756.72,134308.54,12522.28,"conventional",2015,"GreatLakes"
"2290",1,"2015-12-20",1.04,211066.05,115402.34,39931.51,6244.22,49487.98,44628.73,4851.44,7.81,"conventional",2015,"SouthCarolina"
"11359",48,"2015-01-25",1.34,27146.81,17038.27,9879.87,0,228.67,228.67,0,0,"organic",2015,"SanFrancisco"
"7961",12,"2017-10-08",1.56,316112.15,161942.76,57386.29,1635.25,95147.85,61514.47,33613.17,20.21,"conventional",2017,"SouthCarolina"
"11214",7,"2015-11-08",1.8,5951.51,1335.02,4090.76,0,525.73,247.95,277.78,0,"organic",2015,"Sacramento"
"7191",37,"2017-04-16",1.65,4043204.76,222626.36,2576783.08,14146.92,1229648.4,1019859.84,200044.12,9744.44,"conventional",2017,"Northeast"
"13425",35,"2016-04-24",2.11,50334.94,4483.15,15498.3,2803.92,27549.57,27093.07,456.5,0,"organic",2016,"NewYork"
"10283",12,"2015-10-04",1.68,34443.27,11737.64,17362.62,0,5343.01,5303.01,40,0,"organic",2015,"LosAngeles"
"9809",6,"2015-11-15",1.84,6564.71,1658.29,4577.75,0,328.67,140,188.67,0,"organic",2015,"Detroit"
"12893",23,"2016-07-17",1.39,20729.16,16079.93,30.3,0,4618.93,4578.93,40,0,"organic",2016,"Houston"
"3165",44,"2016-02-21",0.89,6374019.03,1776499,2073957.12,267508.94,2256053.97,2073467.05,167309.24,15277.68,"conventional",2016,"California"
"16246",20,"2017-08-13",2.07,73309.74,4392.15,21953.83,234.58,46729.18,46723.25,5.93,0,"organic",2017,"NewYork"
"15273",1,"2017-12-24",1.54,7093.59,348.31,1173.86,0,5571.42,4651.63,919.79,0,"organic",2017,"Columbus"
"7350",37,"2017-04-16",1.74,390396.69,31877.26,220755.78,406.24,137357.41,120676.87,16680.54,0,"conventional",2017,"Philadelphia"
"540",19,"2015-08-16",1.03,155881.73,63291.37,36257.41,32383.88,23949.07,15230.44,4314.54,4404.09,"conventional",2015,"Columbus"
"9661",14,"2015-09-20",1.82,2435.16,511.87,1610.65,0,312.64,53.78,258.86,0,"organic",2015,"Columbus"
"13851",45,"2016-02-14",0.9,63682.51,1154.71,18425.48,3.31,44099.01,1433.94,42665.07,0,"organic",2016,"Portland"
"11436",21,"2015-08-02",1.94,3856.28,636.53,1406.72,535.15,1277.88,947.22,330.66,0,"organic",2015,"SouthCarolina"
"10269",50,"2015-01-11",1.54,6144.55,4027.3,2083.92,0,33.33,33.33,0,0,"organic",2015,"LasVegas"
"10259",40,"2015-03-22",1.46,9021.37,4449.39,3881.75,0,690.23,690.23,0,0,"organic",2015,"LasVegas"
"1129",36,"2015-04-19",0.82,336520.6,206745.02,66506.38,7618.69,55650.51,34413.09,21237.42,0,"conventional",2015,"LasVegas"
"11787",8,"2015-11-01",1.47,647789.17,113380.29,262559.59,6583.03,265266.26,139244.36,126021.9,0,"organic",2015,"TotalUS"
"2307",18,"2015-08-23",1.09,310381.51,139531.8,64117.55,17089.65,89642.51,84625.03,5017.48,0,"conventional",2015,"SouthCarolina"
"7612",34,"2017-05-07",1.33,375498.03,103481.72,124384.84,9620.92,138010.55,134892.78,3117.77,0,"conventional",2017,"RaleighGreensboro"
"17075",1,"2017-12-24",1.48,12762.43,118.57,3514.42,79.12,9050.32,8708.91,341.41,0,"organic",2017,"SouthCarolina"
